vehicle_age,km_driven,mileage,engine,max_power,seats,selling_price,seller_type_Dealer,seller_type_Individual,seller_type_Trustmark Dealer,fuel_type_CNG,fuel_type_Diesel,fuel_type_LPG,fuel_type_Petrol,transmission_type_Automatic,transmission_type_Manual
9,120000,19.7,796,46.3,5,120000,0,1,0,0,0,0,1,0,1
5,20000,18.9,1197,82,5,550000,0,1,0,0,0,0,1,0,1
11,60000,17,1197,80,5,215000,0,1,0,0,0,0,1,0,1
9,37000,20.92,998,67.1,5,226000,0,1,0,0,0,0,1,0,1
6,30000,22.77,1498,98.59,5,570000,1,0,0,0,1,0,0,0,1
8,35000,18.9,998,67.1,5,350000,0,1,0,0,0,0,1,0,1
8,40000,20.36,1197,78.9,5,315000,1,0,0,0,0,0,1,0,1
3,17512,20.51,998,67.04,5,410000,1,0,0,0,0,0,1,0,1
2,20000,18.15,998,118.35,5,1050000,0,1,0,0,0,0,1,1,0
4,28321,16.6,1197,85,5,511000,1,0,0,0,0,0,1,0,1
8,65278,22.32,1582,126.32,5,425000,1,0,0,0,1,0,0,0,1
5,50000,19.64,1461,108.45,5,750000,0,1,0,0,1,0,0,0,1
5,76000,28.09,1248,88.5,5,650000,1,0,0,0,1,0,0,0,1
5,20000,25.2,1248,74,5,627000,0,1,0,0,1,0,0,0,1
7,62200,28.4,1248,74,5,425000,1,0,0,0,1,0,0,0,1
6,20000,21.4,1197,83.1,5,600000,0,1,0,0,0,0,1,0,1
5,40000,20.85,1197,83.14,5,575000,0,1,0,0,0,0,1,0,1
8,47000,16.09,1598,103.2,5,425000,1,0,0,0,0,0,1,0,1
8,25000,20.92,998,67.1,5,230000,1,0,0,0,0,0,1,0,1
2,15000,19.67,1582,126.2,5,1225000,0,1,0,0,1,0,0,0,1
6,50000,17.4,1497,117.3,5,750000,0,1,0,0,0,0,1,0,1
6,90000,26.59,1248,74,5,600000,0,1,0,0,1,0,0,0,1
8,45000,26.59,1248,74,5,390000,1,0,0,0,1,0,0,0,1
14,77253,17.7,1497,78,5,145000,1,0,0,0,0,0,1,0,1
3,25000,17.19,1197,81.86,5,700000,0,1,0,0,0,0,1,0,1
4,30000,23.01,999,67,5,340000,0,1,0,0,0,0,1,0,1
5,39993,18.6,1199,88.76,5,465000,1,0,0,0,0,0,1,0,1
12,80000,17.92,1086,62.1,5,125000,0,1,0,0,0,0,1,0,1
8,90000,23.4,1248,74,5,380000,0,1,0,0,1,0,0,0,1
3,15000,22.54,1396,88.73,5,850000,0,1,0,0,1,0,0,0,1
3,40000,18.6,1197,81.83,5,598000,0,1,0,0,0,0,1,0,1
6,31180,18,1497,117.3,5,700000,1,0,0,0,0,0,1,1,0
7,56000,23.4,1248,74,5,410000,1,0,0,0,1,0,0,0,1
5,52427,21.4,1197,83.1,5,590000,1,0,0,0,0,0,1,1,0
1,40000,21,1498,74.96,7,850000,0,1,0,0,1,0,0,0,1
3,17000,18.15,1198,82,5,550000,0,1,0,0,0,0,1,0,1
5,22000,15.4,1590,94,5,625000,1,0,0,0,0,0,1,0,1
5,54000,20.85,1197,83.14,5,600000,0,1,0,0,0,0,1,0,1
2,10000,20.51,998,67.04,5,445000,0,1,0,0,0,0,1,0,1
2,20000,20.89,1197,81.8,5,530000,0,1,0,0,0,0,1,0,1
3,53237,26.6,998,58.16,5,410000,0,0,1,1,0,0,0,0,1
3,27263,22.5,999,68,5,350000,0,1,0,0,0,0,1,0,1
7,110000,22.32,1582,126.3,5,520000,0,1,0,0,1,0,0,0,1
5,70000,22.54,1396,88.73,5,750000,0,1,0,0,1,0,0,0,1
4,70000,26.59,1248,74,5,560000,0,1,0,0,1,0,0,0,1
2,39000,18.6,1197,81.83,5,655000,1,0,0,0,0,0,1,0,1
14,56000,17.8,1086,63,5,125000,1,0,0,0,0,0,1,0,1
3,34000,18.6,1197,81.83,5,550000,0,1,0,0,0,0,1,0,1
9,77400,20.54,1598,103.6,5,500000,0,1,0,0,1,0,0,0,1
2,36000,17.3,1497,121,7,990000,0,1,0,0,1,0,0,0,1
8,47876,25,1493,113.42,5,551000,1,0,0,0,1,0,0,0,1
6,75000,24,1120,70,5,350000,1,0,0,0,1,0,0,0,1
4,58000,18.16,1196,86.8,5,500000,1,0,0,0,0,0,1,0,1
3,30000,21.21,1197,81.8,5,575000,0,1,0,0,0,0,1,0,1
3,50000,24,1186,73.97,5,545000,0,1,0,0,1,0,0,0,1
4,19093,18.16,1196,86.8,5,525000,0,0,1,0,0,0,1,0,1
7,50000,18,1198,86.7,5,400000,0,1,0,0,0,0,1,0,1
15,37000,14,1061,64,5,155000,1,0,0,0,0,0,1,0,1
5,47000,26.59,1248,74,5,545000,1,0,0,0,1,0,0,0,1
8,70000,16.8,1497,116.3,5,545000,0,1,0,0,0,0,1,0,1
